City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,morant bay,17.8815,-76.4093,83.82,80,70,8.99,JM,1706826904
325,york,40.1254,-77.0,48.45,64,82,5.57,US,1706826840
326,gizo,-8.103,156.8419,83.88,77,64,7.81,SB,1706826905
327,jayapura,-2.5333,140.7,78.19,83,100,4.97,ID,1706826905
328,tosontsengel,48.7567,98.2839,-23.24,98,50,0.16,MN,1706826905
329,flin flon,54.7682,-101.865,22.84,93,100,9.22,CA,1706826905
330,sept-iles,50.2001,-66.3821,14.05,52,100,8.05,CA,1706826902
331,xai-xai,-25.0519,33.6442,74.88,78,3,9.08,MZ,1706826906
332,livadiya,42.8692,132.6764,7.93,55,46,8.48,RU,1706826906
333,chonchi,-42.6128,-73.8092,71.11,71,100,2.1,CL,1706826906
334,mendi,-6.1761,143.6513,61.02,92,100,2.04,PG,1706826906
335,thunder bay,48.4001,-89.3168,28.38,64,40,4.61,CA,1706826907
336,callao,-12.0667,-77.15,82.69,61,40,11.5,PE,1706826907
337,la sierpe,2.8518,-77.6155,80.37,86,81,2.08,CO,1706826907
338,pauini,-7.7136,-66.9764,77.61,87,94,3.51,BR,1706826907
339,natagaima,3.6206,-75.0941,91.15,48,69,5.86,CO,1706826908
340,cooma,-36.2333,149.1333,70.68,42,0,3.91,AU,1706826908
341,vanino,49.0869,140.2543,-5.08,74,84,7.54,RU,1706826908
342,kharp,66.8014,65.8081,4.08,97,100,1.77,RU,1706826908
343,laminusa,5.5549,120.9136,80.04,80,100,4.5,PH,1706826908
344,east london,-33.0153,27.9116,75.15,82,61,17.74,ZA,1706826909
345,bamboo flat,11.7,92.7167,77.09,94,20,2.3,IN,1706826909
346,brasileia,-11.0161,-68.7481,88.25,70,75,6.91,BR,1706826909
347,los andes,-32.8337,-70.5983,86.02,23,0,8.84,CL,1706826909
348,balikpapan,-1.2675,116.8289,74.39,100,20,0.0,ID,1706826910
349,katsuren-haebaru,26.3369,127.8719,72.37,89,20,5.75,JP,1706826910
350,the bottom,17.6259,-63.2492,77.13,73,1,7.87,BQ,1706826910
351,dapa,9.7594,126.0531,78.87,84,100,9.24,PH,1706826910
352,zhanaozen,43.3,52.8,30.38,86,92,10.42,KZ,1706826910
353,madang,-5.2246,145.7966,81.68,80,97,5.23,PG,1706826911
354,wongsorejo,-7.9908,114.4009,78.53,87,96,4.16,ID,1706826911
355,port hueneme,34.1478,-119.1951,63.54,75,40,12.66,US,1706826911
356,tazacorte,28.629,-17.9293,71.15,35,0,8.99,ES,1706826911
357,boguchany,58.3814,97.4531,-18.15,100,83,1.99,RU,1706826911
358,fortuna,40.5982,-124.1573,56.35,91,75,12.66,US,1706826912
359,wynyard,-41.0,145.7167,60.39,52,34,15.95,AU,1706826912
360,poso,-1.3959,120.7524,78.55,82,81,3.4,ID,1706826912
